"Gargoyle, Kir-Lanan",FRCS,312,Monstrous Humanoid,2,Medium
"Gnoll, Flind",MM3,62,Humanoid (Gnoll),2,Medium
Goatfolk (Ibixian),MM3,63,Monstrous Humanoid (Medium),2,
Grimalkin,MM2,122,Shapechanger,2,Medium
Groundling,Mon,57,Monstrous Humanoid,2,Medium
Guardgoyle,CSW,135,Construct,2,Small
"Guardinal, Musteval",BE,174,"Outsider (Extraplanar, Good, Guardinal)",2,Tiny
"Harginn, Elemental Grue",CAr,154,"Elemental (Evil, Extraplanar, Fire)",2,Medium
"Hawk, Dire",RW,189,Animal,2,Medium
Hippocampus,AE,84,Magical Beast (Aquatic),2,Large
Hippocampus,Sto,153,Magical Beast (Aquatic),2,Large
Hippogriff,MM,152,Magical Beast,2,Large
"Hippogriff, Pseudonatural",LoM,161,Outsider,2,Large
"Ildriss, Elemental Grue",CAr,155,"Elemental (Air, Evil, Extraplanar)",2,Medium
Imp (Devil),MM,56,"Outsider (Evil, Extraplanar, Lawful)",2,Tiny
"Imp, Filth",FF,100,"Outsider (Evil, Extraplanar, Lawful)",2,Tiny
Iron Cobra,FF,103,Construct,2,Medium
"Jackal, Dire",Sa,150,Animal,2,Large
Jackelwere,FF,107,Magical Beast/Medium (Shapechanger),2,Small
Kappa,OA,169,Monstrous Humanoid (Aquatic),2,Small
"Kruthik, Hatchling",MH,62,Magical Beast,2,Small
Kuo-toa,MM,163,Monstrous Humanoid (Aquatic),2,Medium
Leopard,MM,274,Animal,2,Medium
Lizard King/Queen,SK,68,Outsider (Native),2,Medium
"Lizard, Monitor",MM,275,Animal,2,Medium
"Lizard, Riding",FRCS,308,Animal,2,Large
Loxo,MM2,144,Monstrous Humanoid,2,
Loxo,ShS,67,Monstrous Humanoid,2,Large
Loxo,SS,221,Monstrous Humanoid (Large),2,
Lumi,MM3,98,Outsider,2,Medium
Lurking Strangler,MM3,100,Aberration,2,Tiny
Mad Slasher,MH,64,Aberration,2,Medium
"Maggot, Dire",LM,95,Vermin,2,Huge
"Myconid, Elder Worker",MM2,155,Plant,2,Medium
"Naga, Asp",OA,173,Humanoid (Reptilian),2,Large
Necrophidius,FF,126,Construct,2,Medium
Needlefolk,MM2,158,Plant,2,Medium
Nifern,SK,79,Animal,2,Medium
Nycter,MM3,112,Monstrous Humanoid,2,Small
"Ooze, Flotsam",FF,17,Ooze (Aquatic),2,Medium
Ophidian,FF,133,Monstrous Humanoid (Reptillian),2,Medium
"Orc, Snow Shaman",Fr,146,Humanoid (Orc),2,Medium
Phaerlock,Und,97,Humanoid (Reptilian),2,Medium
Phase Wasp,MM2,168,Magical Beast,2,Tiny
Protectar,MH,66,"Outsider (Extraplanar, Good)",2,Medium
"Puppeteer, Flesh Harrower",XPH,210,Magical Beast (Psionic),2,Small
Quasit (Demon),MM,46,"Outsider (Chaotic, Extraplanar, Evil)",2,Tiny
"Raven, Giant",Fr,148,Magical Beast,2,Large
"Raven, Giant",SM,121,Magical Beast,2,Large
Redcap,MM3,138,Fey,2,Small
"Redcap, Young",MM3,139,Fey,2,Small
Roach Thrall,Sh,183,Aberration,2,Medium
Rokuro-Kubi,OA,190,Monstrous Humanoid,2,Medium
"Rothe, Deep",FRCS,313,Magical Beast,2,Medium
"Rothe, Ghost",FRCS,313,Magical Beast,2,Large
"Rothe, Surface",FRCS,313,Magical Beast,2,Large
Sahuagin,MM,217,Monstrous Humanoid (Aquatic),2,Medium
Satyr,MM,219,Fey,2,Medium
"Scorpion, Giant Whip",LE,160,Vermin,2,Large
Sewerm,SK,85,Animal,2,Small
Shadowperson,DCS,227,Monstrous Humanoid,2,Medium
"Shark, Large",MM,279,Animal (Aquatic),2,Large
Shocker Lizard,MM,224,Magical Beast,2,Small
Sickening Sleep,MM3,94,Ooze,2,Medium
"Skeleton, Owlbear",MM,226,Undead,2,Large
Skulk,FF,154,Humanoid (Skulk),2,Medium
Skum,MM,228,Aberration (Aquatic),2,Medium
Slaymate,LM,122,Undead,2,Small
"Snake, Dung",SK,83,Animal,2,Medium
"Snake, Glacier",SK,84,Animal,2,Medium
"Snake, Winged Viper",FRCS,309,Animal,2,Large
Spark Lasher,MH,70,Aberration,2,Medium
"Spider, Giant Sun",LE,162,Vermin,2,Large
Splinterwaif,MM3,164,Fey,2,Medium
Stone Spike,MM2,191,"Elemental (Earth, Extraplanar)",2,Medium
"Swarm, Bat",MM,237,Animal (Swarm),2,Diminutive
"Swarm, Cranium Rat Lesser Pack",FF,167,"Magical Beast (Extraplanar, Swarm of Diminutive ,Medium""Creatures)""",2,
"Swarm, Murder of Crows",TM,87,Animal (Swarm),2,Tiny
"Swarm, Rat",MM,239,Animal (Swarm),2,Tiny
"Swarm, Wasp",FF,172,Vermin (Swarm of Fine Creatures),2,Medium
Tako,OA,193,Aberration (Aquatic),2,Medium
Tanarukk,Mon,72,Outsider,2,Medium
Terlen,FF,174,Magical Beast (Extraplanar),2,Medium
"Termite, Soldier",Sa,198,Vermin,2,Medium
Thanoi (Walrus-Folk),DCS,232,Monstrous Humanoid (Cold),2,Medium
Thoqqua,MM,242,"Elemental (Earth, Extraplanar, Fire)",2,Medium
Thought Eater,XPH,211,Aberration (Psionic),2,Small
Thrum Worm,RS,190,Magical Beast,2,Medium
Thudhunter,AE,77,Beast,2,Medium
"Toad, Fire",OA,196,Magical Beast (Fire),2,Small
"Toad, Poisonous",OA,196,Beast,2,Medium
Tomb Mote,LM,128,Undead,2,Tiny
Tree Python,SK,86,Magical Beast,2,Medium
Triton,MM,245,"Outsider (Native, Water)",2,Medium
Undead Martyr,Gh,172,Undead,2,Small
Undying Soldier,ECS,302,Deathless,2,Medium
Undying Wizard,EH,106,Deathless,2,Medium
"Vardigg, Elemental Grue",CAr,155,"Elemental (Evil, Extraplanar, Water)",2,Medium
Vargouille,MM,254,"Outsider (Evil, Extraplanar)",2,Small
Vasuthant,MM3,182,Undead,2,Small
Voidmind Grimlock,MM3,187,Monstrous Humanoid,2,Medium
Walrus,Fr,166,Animal,2,Large
War Mastiff,HB,157,Animal,2,Medium
"Warhorse, Heavy",MM,273,Animal,2,Large
"Weasel, Dire",MM,65,Animal,2,Medium
Wererat (Lycanthrope),MM,171,"Humanoid (Human, Shapechanger)",2,
Whipsnake,SK,87,Animal,2,Medium
Wilora,CSW,141,Magical Beast,2,Tiny
Wolverine,MM,283,Animal,2,Medium
Worg,MM,256,Magical Beast,2,Medium
"Zombie, Bugbear",MM,267,Undead,2,Medium
Aspect of Bel,FCII,142,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",20,Large
Kalaraq Quori,SoS,156,"Outsider (Evil, Extraplanar, Incorporeal, Lawful, Psionic, Quori),Medium""""",20,
Garngrath,MM5,60,Magical Beast (Extraplanar),20,Colossal
Ancient Night Twist,MM3,111,Plant,20,Huge
Crawling Head,FF,35,Undead,20,Huge
Daelkyr,ECS,278,"Outsider (Evil, Extraplanar)",20,Medium
Balor (Demon),MM,40,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",20,Large
"Dragon, Vampiric Mature Adult Red",Dr,195,Undead,20,Huge
Dwarf Einherjar,DD,199,Outsider (Quasi-Deity),20,Small
"Elf, Einherjar",DD,199,Outsider (Quasi-Deity),20,Medium
"Frost Giant, Jotunheim",DD,200,Outsider (Evil),20,Gargantuan
"Giant, Eldritch Confessor",MM3,57,Giant,20,Huge
"Giant, Muspelheim Fire",DD,200,"Outsider (Evil, Fire, Lawful)",20,Gargantuan
Human Einherjar,DD,199,Outsider (Quasi-Deity),20,Medium
"Landwyrm, Swamp",Dr,173,Dragon (Aquatic),20,Gargantuan
"Linnorm, Gray",MM2,141,Dragon,20,Huge
Megapede,MM2,148,Vermin,20,Colossal
Orcwort,MM2,165,Plant,20,Colossal
Pit Fiend (Devil),MM,57,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",20,Large
"Ssvaklor, Greater",MM3,166,Dragon,20,Large
"Swarm, Deathraven",BE,189,Magical Beast (Swarm),20,Tiny
Tarrasque,MM,240,Magical Beast,20,Colossal
Valkyrie,DD,200,Outsider,20,Medium
Zaratan,AE,88,Magical Beast,20,Colossal
Aspect of Dispater,FCII,143,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",21,Medium
Aspect of Mammon,FCII,145,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",21,Huge
Aspect of Belial,FCII,146,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",21,Medium
Aspect of Levistus,FCII,148,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",21,Medium
"Abomination, Chichimec",EL,160,"Outsider (Air, Evil)",21,Medium
"Bazim-Gorag, the Firebringer",CR,152,"Outsider (Chaotic, Evil, Extraplanar)",21,Large
"Golem, Mithral",EL,193,Construct,21,Huge
Kezef the Chaos Hound,CR,144,"Outsider (Chaotic, Evil, Extraplanar)",21,Huge
Mu Spore,EL,205,Plant,21,Colossal
Myrmyxicus (Tanar'ri),FF,52,"Outsider (Aquatic, Chaotic, Evil, Extraplanar, Tanar'ri)",21,Huge
"Ooze, Bone",MM2,36,Ooze,21,Gargantuan
Sarrukh (Progenitor Race),SK,80,Monstrous Humanoid,21,Medium
Shivhad,Fr,152,Aberration (Cold),21,Gargantuan
"Slaad, White",EL,218,Outsider (Chaotic),21,Large
Thunder Worm,FF,176,Magical Beast (Incorporeal),21,Colossal
Titan,MM,242,"Outsider (Chaotic, Extraplanar)",21,Huge
"Troll, Psuedonatural",EL,211,Outsider,21,Large
Aspect of Glasya,FCII,150,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",22,Large
Master of the Hunt,MM5,202,Fey,22,Large
"Abomination, Anaxim",EL,158,"Construct (Lawful, Outsider)",22,Medium
Chaos Roc,MM2,45,Magical Beast,22,Colossal
Faerunian Ha-Naga,SK,75,Aberration,22,Colossal
Ithyak-Ortheel,CR,149,"Outsider (Chaotic, Evil, Extraplanar)",22,Colossal
"Landwyrm, Mountain",Dr,172,Dragon,22,Colossal
"Naga, Ha-Naga",EL,195,Aberration,22,Colossal
Paeliryon (Baatezu),FF,58,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",22,Huge
Thorciasid,EL,220,Aberration,22,Medium
Zeitgeist,Ci,138,Fey,23,Huge
Aspect of Baalzebul,FCII,151,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",23,Huge
Brachyurus,EL,170,Magical Beast,23,Large
"Dracolich, Ancient Blue",Dr,147,Undead,23,Gargantuan
Lavawight,EL,200,Undead,23,Medium
"Mind Flayer, Paragon",EL,208,Aberration,23,Medium
Solar (Angel),MM,12,"Outsider (Angel, Extraplanar, Good)",23,Large
Spirit of the Land,MM2,189,Fey (Incoporeal),23,Huge
"Swarm, Ruin",EL,213,Ooze,23,Colossal
Winterwight,EL,227,Undead (Cold),23,Medium
Aspect of Mephistopheles,FCII,153,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",24,Large
"Colossus, Stone",EL,171,Construct,24,Colossal
Phoenix,MM2,168,Magical Beast,24,Large
Sirrush,EL,216,Magical Beast,24,Large
Tayellah,EL,220,Magical Beast,24,Gargantuan
Vermiurge,EL,226,Aberration,24,Large
"Abomination, Phane",EL,166,"Outsider (Chaotic, Evil, Incorporeal)",25,Large
"Bahamut, the Platinum Dragon",MP,133,Dragon,25,Colossal
Elder Brain,LoM,144,Aberration,25,Large
Elder Brain,Und,84,Aberration,25,Large
"Elder Brain, Psionic",LoM,145,Aberration (Psionic),25,Large
Gloom,EL,192,Monstrous Humanoid,25,Medium
"Golem, Adamantine",EL,194,Construct,25,Huge
Hoary Hunter,EL,197,Fey (Cold),25,Medium
Hunefer,EL,198,Undead,25,Medium
Klurichir (Tanar'ri),FF,48,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",25,Huge
Leviathan,MM2,139,Magical Beast (Aquatic),25,Colossal
"Linnorm, Dread",MM2,141,Dragon,25,Colossal
"Slaad, Black",EL,219,Outsider (Chaotic),25,Huge
"Tiamat, the Chromatic Dragon",MP,118,Dragon,25,Colossal
"Treant, Elder",EL,223,Plant,25,Colossal
"Abomination, Infernal",EL,164,"Outsider (Evil, Chaotic/Lawful)",26,Large
Dendar the Night Serpent,CR,140,"Outsider (Evil, Extraplanar)",26,Colossal
"Giant, Mountain",MM2,112,Giant (Earth),26,Colossal
Hellfire Wyrm,MM2,125,Dragon (Fire),26,Huge
Neh-Thalggu (Brain Collector),EL,206,Aberration (Incorporeal),26,Huge
Shadow of the Void,EL,214,"Undead (Cold, Incorporeal)",26,Large
Shape of Fire,EL,215,"Undead (Fire, Incorporeal)",26,Large
Worm that Walks,EL,228,Aberration,26,Medium
Aspect of Asmodeus,FCII,155,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",27,Large
"Colossus, Flesh",EL,171,Construct,27,Colossal
Gibbering Orb,EL,191,Aberration,27,Huge
"Malikizid, the Branded King",CR,155,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",27,Large
Uvuudaum,EL,224,Outsider (Evil),27,Large
"Eltab, Lord of the Hidden Layer",CR,133,"Outsider (Chaotic, Extraplanar, Evil)",28,Large
Fiendwurm,MM2,99,Magical Beast,28,Gargantuan
LeShay,EL,202,Fey,28,Medium
"Linnorm, Corpse-Tearer",MM2,141,Dragon,28,Gargantuan
Prismasaurus,EL,210,Magical Beast,28,Huge
Demilich,EL,174,Undead,29,Diminutive
"Protean, Hagunemnon",EL,196,Shapechanger,29,Large
Rutterkin,FCI,51,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",3,Medium
Clockwork Steed,MM4,32,Construct,3,Large
Slave-Taker,MM4,67,Humanoid,3,Medium
Giant Wasp Mount,MM4,84,Vermin,3,Large
Lolth-Touched Monstrous Hunting Spider,MM4,93,Vermin,3,Large
Necrosis Carnex,MM4,104,Undead,3,Medium
Half-Orc Infiltrator,MM4,117,Humanoid (Orc),3,Medium
Plague Walker,MM4,120,Undead,3,Medium
Wrackspawn,MM4,182,"Outsider (Chaotic, Evil, Extraplanar)",3,Medium
Bluespawn Stoneglider,DrF,105,"Monstrous Humanoid (Earth, Dragonblood)",3,Medium
Drakkensteed,DM,113,Animal (Dragonblood),3,Large
Legion Devil (Merregon),FCII,122,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",3,Medium
Mirror Mephit,EDP,208,Outsider (Extraplanar),3,Small
Adamantine Spider,DrU,106,Construct,3,Small
Quaggoth,DrU,136,Monstrous Humanoid,3,Medium
Umbral Spy,FW,155,Construct,3,Small
Myconid Venom Spore,EU,221,Plant,3,Medium
Gadacro,MM5,26,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",3,Small
Hobgoblin Duskblade,MM5,84,Humanoid (Goblinoid),3,Medium
Crazed Kuo-Toa,MM5,94,Monstrous Humanoid (Aquatic),3,Medium
Rylkar Madclaw,MM5,137,Magical Beast,3,Small
Bonespur,MM5,156,Undead,3,Large
Advespa (Baatezu),MM2,67,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",3,Large
Allip,MM,10,Undead (Incorporeal),3,Medium
"Animated Object, Large",MM,14,Construct,3,Large
Ankheg,MM,14,Magical Beast,3,Large
"Aoa, Droplet",FF,14,Outsider (Extraplanar),3,Medium
"Ape, Dire",MM,62,Animal,3,Large
Armand,MM3,10,Monstrous Humanoid,3,Small
"Arrowhawk, Juvenile",MM,19,"Outsider (Air, Extraplanar)",3,Small
Ashen Husk,Sa,137,Undead,3,Medium
Assassin Vine,MM,20,Plant,3,Large
"Automaton, Hammerer",MM2,27,Construct,3,Medium
"Automaton, Pulverizer",MM2,27,Construct,3,Medium
Aventi Sergeant,Sto,138,"Humanoid (Human, Aquatic)",3,Medium
Bajang,OA,145,Fey (Spirit),3,Small
Banedead,Mon,16,Undead,3,Medium
Bariaur,BE,165,"Outsider (Chaotic, Extraplanar, Good)",3,Large
"Bat, Fire",MM2,102,"Elemental (Fire, Extraplanar)",3,Small
"Bat, Guard",MM2,66,Animal,3,Large
"Bat, Hunting",MM2,66,Animal,3,Medium
Bloodthorn,FF,23,Plant (Extraplanar),3,Large
Boggle,MM2,33,Monstrous Humanoid,3,Small
Bright Naga,MH,55,Aberration,3,Large
Brine Swimmer,Sa,195,Vermin,3,Large
Burning Skeleton,RT,157,Undead,3,Medium
"Buso, Tigbanua",OA,148,Monstrous Humanoid,3,Medium
Camelopardel,Sa,141,Magical Beast,3,Large
Centaur,MM,32,Monstrous Humanoid,3,Large
"Guardinal, Cervidal",MM2,43,Outsider (Extraplanar, Good, Guardinal),3,Medium
"Choker, Shadow",LoM,167,Aberration (Extraplanar),3,Small
Cockatrice,MM,37,Magical Beast,3,Small
Crypt Thing,FF,36,Undead,3,Medium
Crysmal,XPH,194,"Elemental (Earth, Psionic)",3,Small
Cursed Cold One (Gelun),Sa,145,Aberration,3,Medium
Cursed Spirit,MH,60,Undead (Incorporeal),3,Medium
Darfellen Barbarian,Sto,143,Humanoid (Darfellan),3,Medium
Dark Creeper,FF,38,Humanoid,3,Small
Deadly Dancer,TM,80,Aberration,3,Medium
Deathfang,Rac,175,Undead,3,Small
Deathlock,LM,94,Undead,3,Medium
Derro,MM,49,Monstrous Humanoid,3,Small
"Dinosaur, Cryptoclidus",MM2,70,Animal,3,Large
"Dinosaur, Deinonychus",MM,60,Animal,3,Large
"Dinosaur, Glidewing",ECS,280,Animal,3,Large
"Dinosaur, Protoceratops",Sa,147,Animal,3,Medium
Direguard,LE,162,Undead,3,Medium
Doppleganger,MM,67,Monstrous Humanoid (Shapechanger),3,Medium
Dracotaur,MM3,42,Dragon,3,Large
Dragonkin,Dr,150,Monstrous Humanoid (Reptillian),3,Large
Dread Ram,Gh,160,Undead,3,Large
Dread Warrior,Mon,46,Undead,3,Medium
Dryad,MM,90,Fey,3,Medium
"Dusk Beast, Ephemera",MP,169,Outsider,3,Medium
Dust Twister,Sa,162,"Elemental (Air, Extraplanar)",3,Medium
Dustblight,Sa,160,Aberration,3,Medium
"Eagle, Dire",RS,186,Animal,3,Large
"Eagle, Giant",MM,93,Magical Beast,3,Large
"Eagle, Giant",MM,93,Magical Beast,3,Large
"Eel, Dire",Sto,148,Animal (Aquatic),3,Large
"Elf, Aquatic Dolphin Rider",Sto,148,"Humanoid (Elf, Aquatic)",3,Medium
Equiceph,MH,61,Monstrous Humanoid,3,Large
Ethereal Filcher,MM,104,Aberration,3,Medium
Ethereal Marauder,MM,105,Magical Beast (Extraplanar),3,Medium
Ettercap,MM,106,Aberration,3,Medium
"Felldrake, Horned",MM2,98,Dragon,3,Medium
Fihyr,MM2,100,Aberration,3,Small
Formian Warrior,MM,109,"Outsider (Lawful, Extraplanar)",3,Medium
"Frog, Giant",RT,158,Magical Beast,3,Medium
Gas Spore,LoM,148,Plant,3,Large
Gelatinous Cube,MM,201,Ooze,3,Huge
Ghast,MM,119,Undead,3,Medium
Ghosteater,Gh,165,Aberration (Incorporeal),3,Medium
"Giant, Phaerlin",Mon,50,Giant (Earth),3,Huge
Gravehound,MH,62,Undead,3,Medium
Grell,MM2,121,Aberration,3,Medium
Grell,RT,158,Aberration,3,Medium
Grick,MM,139,Aberration,3,Medium
Hadozee First Mate,Sto,151,Humanoid (Hadozee),3,Medium
Harrier,DF,87,Magical Beast,3,Large
Hell Hound,MM,151,"Outsider (Evil, Extraplanar, Fire, Lawful)",3,Medium
Hobyah,StS,31,Outsider,3,Tiny
"Ice Paraelemental, Medium",MP,181,"Elemental (Air, Cold)",3,Medium
Ice Serpent,Mon,62,"Elemental (Air, Cold)",3,Large
"Illithidae, Saltor",LoM,156,Aberration,3,Small
"Imp, Bloodbag",FF,98,"Outsider (Evil, Extraplanar, Lawful)",3,Tiny
"Imp, Euphoric",FF,99,"Outsider (Evil, Extraplanar, Lawful)",3,Tiny
"Ixitxachitl, Vampiric",MM2,128,Aberration (Aquatic),3,Small
Jaculi,SK,66,Magical Beast,3,Medium
Khaasta,FF,115,"Monstrous Humanoid (Extraplanar, Reptillian)",3,Medium
"Kython, Juvenile",BV,179,Aberration,3,Medium
Lion,MM,274,Animal,3,Large
"Lizard, Pack",FRCS,308,Animal,3,Large
"Lizard, Subterranean",Fo,32,Animal (Reptilian),3,Large
"Lizardfolk, Blackscale",MM3,95,Monstrous Humanoid (Reptillian),3,Large
Lurker,Und,94,Aberration,3,Large
"Lycanthrope, Werecrododile",LE,181,Humanoid,3,
"Lycanthrope, Wereserpent",SK,69,"Humanoid (Human, Shapechanger)",3,Medium
Magma Hurler,MH,65,"Elemental (Earth, Extraplanar, Fire)",3,Medium
"Magma Paraelemental, Medium",MP,183,"Elemental (Earth, Fire)",3,Medium
Maug,FF,121,Construct (Extraplanar),3,Large
Meenlock,MM2,146,Aberration,3,Tiny
"Mephit, Air",MM,181,"Outsider (Air, Extraplanar)",3,Small
"Mephit, Dust",MM,181,"Outsider (Air, Extraplanar)",3,Small
"Mephit, Earth",MM,182,"Outsider (Earth, Extraplanar)",3,Small
"Mephit, Fire",MM,182,"Outsider (Extraplanar, Fire)",3,Small
"Mephit, Glass",Sa,175,"Outsider (Earth, Extraplanar, Fire)",3,Small
"Mephit, Ice",MM,182,"Outsider (Air, Cold, Extraplanar)",3,Small
"Mephit, Magma",MM,183,"Outsider (Fire, Extraplanar)",3,Small
"Mephit, Ooze",MM,183,"Outsider (Extraplanar, Water)",3,Small
"Mephit, Salt",MM,184,"Outsider (Earth, Extraplanar)",3,Small
"Mephit, Steam",MM,184,"Outsider (Extraplanar, Fire)",3,Small
"Mephit, Sulfur",Sa,176,"Outsider (Air, Earth, Extraplanar)",3,Small
"Mephit, Water",MM,185,"Outsider (Extraplanar, Water)",3,Small
Murk,LM,112,Undead,3,Medium
"Naga, Cobra",OA,173,Humanoid (Reptilian),3,Large
"Naga, Constrictor",OA,173,Humanoid (Reptilian),3,Huge
"Nat, Hkum Yeng",OA,176,Fey (Spirit),3,Medium
"Nature Spirit, Medium",OA,177,Fey (Spirit),3,Medium
Necroplasm,Gh,168,Undead,3,Medium
"Nerra, Kalareem",FF,128,Outsider (Extraplanar),3,Medium
Nothic,MH,65,Aberration,3,Medium
Ogre,MM,198,Giant,3,Large
"Oni, Haino no",OA,181,"Outsider (Evil, Shadowlands)",3,Medium
Onikage,OA,188,Undead (Shadowlands),3,Large
"Ooze Paraelemental, Medium",MP,183,"Elemental (Earth, Water)",3,Medium
"Owl, Giant",MM,205,Magical Beast,3,Large
"Owl, Giant",MM,205,Magical Beast,3,Large
Pegasus,MM,206,Magical Beast,3,Large
Phantom Fungus,MM,207,Plant,3,Medium
Phoera,MM3,122,Magical Beast (Fire),3,Medium
"Praying Mantis, Giant",MM,285,Vermin,3,Large
Pterafolk,Mon,74,Shapechanger (Reptilian),3,Large
Pteranadon,SK,65,Animal,3,Large
Quaggoth,Mon,75,Monstrous Humanoid,3,Medium
Quell,LM,116,Undead (Incorporeal),3,Medium
"Raggamoffyn, Common",MM2,175,Construct ,3,Medium
Roving Mauler,TM,86,Magical Beast (Extraplanar),3,Medium
Runehound,MM3,145,Aberration,3,Medium
Rust Monster,MM,216,Aberration,3,Medium
Rutterkin (Tanar'ri),BV,170,"Outsider (Chaotic, Evil, Tanar'ri)",3,Medium
"Salamander, Flamebrother",MM,219,"Outsider (Extraplanar, Fire)",3,Small
Sand Hunter,Sa,183,Magical Beast,3,Medium
Seawolf,Sto,158,Magical Beast (Shapechanger),3,Medium
Senmurv,FF,149,Magical Beast,3,Large
Shocker,RT,159,Outsider,3,Medium
Sinister,Mon,18,Magical Beast,3,Large
"Skeleton, Karrnathi",ECS,292,Undead,3,Medium
"Skeleton, Troll",MM,227,Undead,3,Large
Skin Kite,LM,119,Undead,3,Small
"Smoke Paraelemental, Medium",MP,184,"Elemental (Air, Fire)",3,Medium
Spark Guardian,CW,119,Construct,3,Tiny
Spectral Steed,Gh,169,Undead (Incorporeal),3,Large
Spriggan,FF,162,Fey/Large,3,Small
Stingtail,Mon,15,Humanoid (Reptilian),3,Large
Stone Flyer,Und,99,"Magical Beast (Earth, Extraplanar)",3,Large
Stonechild,MH,71,"Outsider (Earth, Extraplanar)",3,Medium
"Swarm, Bone Rat",LM,88,Undead (Swarm),3,Tiny
"Swarm, Locust",MM,239,Vermin (Swarm),3,Diminutive
"Swarm, Viper",FF,172,Animal (Swarm of Diminutive Creatures),3,Medium
"Taint Elemental, Small",HH,145,Elemental (Evil),3,Small
Temporal Filcher,XPH,210,Aberration (Psionic),3,Large
"Toad, Dire",MM2,75,Animal,3,Medium
"Toad, Ice",Fr,140,Magical Beast (Cold),3,Large
"Toad, Ice",OA,196,Magical Beast (Cold),3,Large
"Tojanida, Juvenile",MM,244,"Outsider (Extraplanar, Water)",3,Small
"Topiary Guardian, Boar",MM3,174,Plant,3,Medium
Tren,SK,87,"Humanoid (Aquatic, Reptilian)",3,Medium
Tumbling Mound,Sa,191,Plant,3,Medium
Unicorn,MM,249,Magical Beast,3,Large
"Unicorn, Black",Mon,83,Magical Beast,3,Large
Uthraki,Una,79,Monstrous Humanoid (Shapechanger),3,Large
Violet Fungus,MM,113,Plant,3,Medium
Vodyanoi,Fr,160,Fey (Aquatic),3,Medium
"Vulture, Dire",Sa,152,Animal,3,Large
"Wasp, Giant",MM,285,Vermin,3,Large
Wemic,Mon,84,Monstrous Humanoid,3,Large
Werewolf (Lycanthrope),MM,172,"Humanoid (Human, Shapechanger)",3,Medium
Wight,MM,255,Undead,3,Medium
"Wolf, Dire",MM,65,Animal,3,Large
Wortling,MM2,165,Plant,3,Small
"Wraith Spider, Large",CSQ,124,Undead,3,Large
"Xorn, Minor",MM,261,"Outsider (Extraplanar, Earth)",3,Small
Yeth Hound,MM,260,"Outsider (Extraplanar, Evil)",3,Medium
Yeti,Fr,162,Monstrous Humanoid (Cold),3,Huge
Yeti,OA,199,Monstrous Humanoid (Cold),3,Large
Yuan-ti Pureblood,MM,263,Monstrous Humanoid,3,Medium
"Yuan-ti, Pureblood",MM,263,Monstrous Humanoid,3,Medium
"Yugoloth, Skeroloth",FF,197,"Outsider (Evil, Extraplanar)",3,Small
"Zombie, Karrnathi",ECS,292,Undead,3,Medium
"Zombie, Ogre",MM,267,Undead,3,Large
"Zombie, Tyrantfog",Mon,85,Undead,3,Medium
"Abomination, Attropal",EL,159,"Undead (Evil, Lawful, Outsider)",30,Large
Genius Loci,EL,190,Ooze,30,Colossal
"Titan, Elder",EL,221,Outsider ,30,Colossal
"Abomination, Dream Larva",EL,161,"Outsider (Chaotic, Evil)",31,Large
Umbral Blot (Blackball),EL,223,Construct,32,Medium
"Colossus, Iron",EL,171,Construct,33,Colossal
Living Vault,EL,203,Construct,33,Colossal
"Abomination, Phaethon",EL,165,"Outsider (Chaotic, Evil, Fire)",34,Gargantuan
"Elemental, Air Primal",EL,187,Elemental (Air),35,Colossal
"Elemental, Earth Primal",EL,187,Elemental (Earth),35,Colossal
"Elemental, Fire Primal",EL,187,Elemental (Fire),35,Colossal
"Elemental, Primal",EL,186,Elemental,35,Colossal
"Elemental, Water Primal",EL,187,Elemental (Water),35,Colossal
"Abomination, Xixecal",EL,167,"Outsider (Chaotic, Cold, Evil)",36,Colossal
"Centipede, Devastation",EL,178,Vermin,39,Colossal
Ekolid,FCI,38,"Outsider (Chaotic, Evil, Extraplanar, Obyrith)",4,Small
Guecubu,FCI,41,"Outsider (Chaotic, Evil, Extraplanar, Incorporeal, Loumara)",4,Medium
Bloodhulk Fighter,MM4,20,Undead,4,Medium
Githyanki Soldier,MM4,62,Humanoid (Extraplanar),4,Medium
Fiendish Cleric of Yeenoghu,MM4,67,Humanoid,4,Medium
Dark Talon Champion (Raging),MM4,83,Humanoid (Reptilian),4,Medium
Nagatha,MM4,102,Monstrous Humanoid,4,Medium
Orc Berserker,MM4,114,Humanoid,4,Medium
