Name,Book,Type,Subtype,Size,HD,CR,Environment,Misc
Earth Elemental;  Large,['(MM p09) - (Eb p97)'],Elemental,Earth,Large ,8,5,Plane of Earth; Plane of Lamannia,-
Earth Whisper,['(RoS p187)'],Elemental,Earth;Incorporeal,Medium ,4,5,Underground,-
Fire Elemental;  Large,['(MM p09) - (Eb p95)'],Elemental,Fire,Large ,8,5,Plane of Fire; Plane of Fernia,-
Ice Para-Elemental;  Large,['(MotP p18) - (3.5up p2)+ - (Eb p97)'],Elemental,Air;Cold,Large ,8,5,Plane of Air; Plane of Water; Plane of Risia,-
Magma Para-Elemental;  Large,['(MotP p18) - (3.5up p2)+ - (Eb p95)'],Elemental,Earth;Fire,Large ,8,5,Plane of Earth; Plane of Fire; Plane of Fernia,-
Ooze Para-Elemental;  Large,['(MotP p18) - (3.5up p2)+ - (Eb p97)'],Elemental,Earth;Water,Large ,8,5,Plane of Earth; Plane of Water; Plane of Lamannia,-
Smoke Para-Elemental;  Large,['(MotP p18) - (3.5up p28)'],Elemental,Air;Fire,Large ,8,5,Plane of Air; Plane of Fire; Plane of Lamannia,-
Water Elemental;  Large,['(MM p09) - (Eb p97)'],Elemental,Water,Large ,8,5,Plane of Water; Plane of Lamannia,-
Weird;  Air;  Lesser,['(DR347 p070)'],Elemental,Air,Medium ,8,5,Plane of Air,-
Weird;  Earth;  Lesser,['(DR347 p070)'],Elemental,Earth,Medium ,8,5,Plane of Earth,-
Weird;  Fire;  Lesser,['(DR347 p070)'],Elemental,Fire,Medium ,8,5,Plane of Fire,-
Weird;  Water;  Lesser,['(DR347 p070)'],Elemental,Water,Medium ,8,5,Plane of Water,-
Belker,['(MM p02) - (Eb p97)'],Elemental,Air,Large ,7,6,Plane of Air; Plane of Lamannia,-
Chraal,['(MM3 p02) - (Eb p98)'],Elemental,Cold,Large ,9,6,Plane of Water; Plane of Risia,-
Rhinoceros;  Earth Element,['(MotP p19) - (3.5up p26)'],Elemental,Earth,Large ,8,6,Plane of Earth; Plane of Lamannia,Template - Element;  Earth
Spawn of Juiblex;  Lesser,['(MM5 p162)'],Elemental,Water,Large ,8,6,Plane of Water; Plane of Filth,-
Storm Elemental;  Large,['(MM3 p049)'],Elemental,Air,Large ,8,6,Plane of Air; Plane of Kythri,-
Air Elemental;  Huge,['(MM p09) - (Eb p97)'],Elemental,Air,Huge ,16,7,Plane of Air; Plane of Lamannia,-
Breathdrinker,['(MM2 p03) - (3.5up p31)'],Elemental,Air,Medium ,8,7,Plane of Air,Lvl +7
Darkness;  Pseudo- Elemental;  Large,['(DR322 p066)'],Elemental,Incorporeal,Large ,8,7,Plane of Shadow,-
Earth Elemental;  Huge,['(MM p09) - (Eb p97)'],Elemental,Earth,Huge ,16,7,Plane of Earth; Plane of Lamannia,-
Fire Elemental;  Huge,['(MM p09) - (Eb p95)'],Elemental,Fire,Huge ,16,7,Plane of Fire; Plane of Fernia,-
Ice Para-Elemental;  Huge,['(MotP p18) - (3.5up p2)+ - (Eb p97)'],Elemental,Air;Cold,Huge ,16,7,Plane of Air; Plane of Water; Plane of Risia,-
Invisible Stalker,['(MM p16) - (Eb p97)'],Elemental,Air,Large ,8,7,Plane of Air; Plane of Lamannia,-
Magma Para-Elemental;  Huge,['(MotP p18) - (3.5up p2)+ - (Eb p95)'],Elemental,Earth;Fire,Huge ,16,7,Plane of Earth; Plane of Fire; Plane of Fernia,-
Ooze Para-Elemental;  Huge,['(MotP p18) - (3.5up p2)+ - (Eb p97)'],Elemental,Earth;Water,Huge ,16,7,Plane of Earth; Plane of Water; Plane of Lamannia,-
Smoke Para-Elemental;  Huge,['(MotP p18) - (3.5up p28)'],Elemental,Air;Fire,Huge ,16,7,Plane of Air; Plane of Fire; Plane of Lamannia,-
Water Elemental;  Huge,['(MM p09) - (Eb p97)'],Elemental,Water,Huge ,16,7,Plane of Water; Plane of Lamannia,-
Inferno Spider,['(MM4 p076)'],Elemental,Fire,Large ,14,8,Plane of Fire; Plane of Fernia,-
Rhinoceros;  Magma Element,['(DR347 p06) - (Eb p95)'],Elemental,Earth;Fire,Large ,6,8,Plane of Earth; Plane of Fire; Plane of Fernia,Template - Element;  Magma
"Shambling Mound;  Cold Element (aka ""Thundra Shambler"")",['(MotP p19) - (3.5up p26)'],Elemental,Cold,Large ,8,8,Plane of Air; Plane of Water; Plane of Risia,Template - Element;  Cold
Storm Elemental;  Huge,['(MM3 p049)'],Elemental,Air,Huge ,16,8,Plane of Air; Plane of Kythri,-
Air Elemental;  CGreater,['(MM p09) - (Eb p97)'],Elemental,Air,Huge ,21,9,Plane of Air; Plane of Lamannia,-
Caller from the Deeps,['(Storm p140)'],Elemental,Water;Native,Huge ,9,9,Any Aquatic,- 
Darkness;  Pseudo-Elemental;  Huge,['(DR322 p068)'],Elemental,Incorporeal,Huge ,16,9,Plane of Shadow,-
Dragonne;  Smoke Element,['(DR347 p06) - (Eb p97)'],Elemental,Air;Fire,Large ,9,9,Plane of Air; Plane of Fire; Plane of Lamannia,Template - Element;  Smoke
Earth Elemental;  CGreater,['(MM p09) - (Eb p97)'],Elemental,Earth,Huge ,21,9,Plane of Earth; Plane of Lamannia,-
Fire Elemental;  CGreater,['(MM p09) - (Eb p95)'],Elemental,Fire,Huge ,21,9,Plane of Fire; Plane of Fernia,-
Galeb Duhr,['(MM2 p10) - (3.5up p33)'],Elemental,Earth,Medium ,8,9,Any Mountains; Plane of Earth,Lvl +5
Ice Para-Elemental;  CGreater,['(MotP p18) - (3.5up p2)+ - (Eb p97)'],Elemental,Air;Cold,Huge ,21,9,Plane of Air; Plane of Water; Plane of Risia,-
Immoth,['(MM2 p12) - (3.5up p3)+ - (Eb p97)'],Elemental,Air;Cold;Water,Large ,10,9,Any Cold; Plane of Air; Plane of Water; Plane of Risia,Lvl +6
Magma Para-Elemental;  CGreater,['(MotP p18) - (3.5up p2)+ - (Eb p95)'],Elemental,Earth;Fire,Huge ,21,9,Plane of Earth; Plane of Fire; Plane of Fernia,-
Ooze Para-Elemental;  CGreater,['(MotP p18) - (3.5up p2)+ - (Eb p97)'],Elemental,Earth;Water,Huge ,21,9,Plane of Earth; Plane of Water; Plane of Lamannia,-
Smoke Para-Elemental;  CGreater,['(MotP p18) - (3.5up p28)'],Elemental,Air;Fire,Huge ,21,9,Plane of Air; Plane of Fire; Plane of Lamannia,-
Water Elemental;  CGreater,['(MM p09) - (Eb p97)'],Elemental,Water,Huge ,21,9,Plane of Water; Plane of Lamannia,-
Behir;  Ooze Element,['(DR347 p06) - (Eb p97)'],Elemental,Earth;Water,Huge ,9,10,Plane of Earth; Plane of Water; Plane of Lamannia,Template - Element;  Ooze
Ruin Elemental,['(MM5 p134)'],Elemental,Earth,Large ,14,10,Any,(ruins) -
Sickstone Elemental,['(DU132 p052)'],Elemental,Earth,Huge ,16,10,Plane of Earth,-
Spawn of Juiblex;  Greater,['(MM5 p162)'],Elemental,Water,Huge ,11,10,Plane of Water; Plane of Filth,-
Storm Elemental;  CGreater,['(MM3 p049)'],Elemental,Air,Huge ,21,10,Plane of Air; Plane of Kythri,-
Air Elemental;  DElder,['(MM p09) - (Eb p97)'],Elemental,Air,Huge ,24,11,Plane of Air; Plane of Lamannia,-
Darkness;  Pseudo-Elemental;  Greater,['(DR322 p068)'],Elemental,Incorporeal,Huge ,21,11,Plane of Shadow,-
Earth Elemental;  DElder,['(MM p09) - (Eb p97)'],Elemental,Earth,Huge ,24,11,Plane of Earth; Plane of Lamannia,-
Fire Elemental;  DElder,['(MM p09) - (Eb p95)'],Elemental,Fire,Huge ,24,11,Plane of Fire; Plane of Fernia,-
Ice Para-Elemental;  DElder,['(MotP p18) - (3.5up p2)+ - (Eb p97)'],Elemental,Air;Cold,Huge ,24,11,Plane of Air; Plane of Water; Plane of Risia,-
Magma Para-Elemental;  DElder,['(MotP p18) - (3.5up p2)+ - (Eb p95)'],Elemental,Earth;Fire,Huge ,24,11,Plane of Earth; Plane of Fire; Plane of Fernia,-
Ooze Para-Elemental;  DElder,['(MotP p18) - (3.5up p2)+ - (Eb p97)'],Elemental,Earth;Water,Huge ,24,11,Plane of Earth; Plane of Water; Plane of Lamannia,-
Smoke Para-Elemental;  DElder,['(MotP p18) - (3.5up p28)'],Elemental,Air;Fire,Huge ,24,11,Plane of Air; Plane of Fire; Plane of Lamannia,-
Squid;  Giant;  Ice Element,['(DR347 p058)'],Elemental,Aquatic;Air;Cold;Water,Huge ,12,11,Plane of Air; Plane of Water; Plane of Risia,Template - Element;  Ice
Water Elemental;  DElder,['(MM p09) - (Eb p97)'],Elemental,Water,Huge ,24,11,Plane of Water; Plane of Lamannia,-
Storm Elemental;  DElder,['(MM3 p049)'],Elemental,Air,Huge ,24,12,Plane of Air; Plane of Kythri,-
Weird;  Air,['(MM2 p09) - (3.5up p33)'],Elemental,Air,Large ,15,12,Plane of Air; Any Land; Underground,-
Weird;  Earth,['(MM2 p09) - (3.5up p33)'],Elemental,Earth,Large ,15,12,Plane of Earth; Any Land; Underground,-
Weird;  Fire,['(MM2 p09) - (3.5up p33)'],Elemental,Fire,Large ,15,12,Plane of Fire; Any Land; Underground,-
Weird;  Water,['(MM2 p09) - (3.5up p33)'],Elemental,Water,Large ,15,12,Plane of Water; Any Land; Underground,-
Cinder Swarm,['(MM3 p02) - (Eb p96)'],Elemental,Swarm;Fire,Fine ,16,13,Plane of Fire; Plane of Fernia,-
Darkness;  Pseudo-Elemental;  DElder,['(DR322 p068)'],Elemental,Incorporeal,Huge ,24,13,Plane of Shadow,-
Living Holocaust,['(FF p11) - (3.5up p24)'],Elemental,Air;Fire,Small ,15,13,Plane of Abyss,-
Spawn of Juiblex;  Elder,['(MM5 p163)'],Elemental,Water,Gargantuan ,16,14,Plane of Water; Plane of Filth,-
Cyclonic Ravager,['(MM4 p010)'],Elemental,Air,Large ,26,15,Plane of Air,-
Holocaust Disciple,['(MM4 p011)'],Elemental,Fire,Large ,26,15,Plane of Fire,-
Omnimental,['(MM3 p11) - (MM3Errata)'],Elemental,Air;Earth;Fire;Water,Gargantuan ,32,15,Plane of Fire,-
Waterveilded Assassin,['(MM4 p013)'],Elemental,Water,Large ,26,15,Plane of Water,-
Weird;  Ice,['(Frost p126)'],Elemental,Cold;Water,Large ,15,15,Plane of Water,-
Weird;  Snow,['(Frost p126)'],Elemental,Air;Cold,Large ,15,15,Plane of Air,-
Tempest,['(MM2 p19) - (3.5up p37)'],Elemental,Air;Earth;Fire;Water,Gargantuan ,24,16,Plane of Air; Plane of Earth; Plane of Fire; Plane of Water,-
Air Monolith,['(CArc p156)'],Elemental,Air,Gargantuan ,36,17,Plane of Air; Plane of Lamannia,-
Earth Monolith,['(CArc p157)'],Elemental,Earth,Gargantuan ,36,17,Plane of Earth; Plane of Lamannia,-
Fire Monolith,['(CArc p158)'],Elemental,Fire,Gargantuan ,36,17,Plane of Fire; Plane of Fernia,-
Ice Monolith,['(DR347 p054)'],Elemental,Air;Cold,Gargantuanntuan ,35,17,Plane of Air; Plane of Water; Plane of Risia,-
Magma Monolith,['(DR347 p05) - (Eb p95)'],Elemental,Earth;Fire,Gargantuan ,36,17,Plane of Earth; Plane of Fire; Plane of Fernia,-
Ooze Monolith,['(DR347 p055)'],Elemental,Earth;Water,Gargantuan ,36,17,Plane of Earth; Plane of Water; Plane of Lamannia,-
Smoke Monolith,['(DR347 p056)'],Elemental,Air;Fire,Gargantuan ,36,17,Plane of Air; Plane of Fire; Plane of Lamannia,-
Water Monolith,['(CArc p159)'],Elemental,Water,Gargantuan ,36,17,Plane of Water; Plane of Lamannia,-
Black Rock Triskelion,['(MM4 p008)'],Elemental,Earth,Large ,26,18,Plane of Earth,-
Feytouched,['(FF p071)'],Fey,-,Medium ,1,0.5,Any,Lvl +1
Jermlaine,['(MM2 p13) - (3.5up p34)'],Fey,-,Tiny,0.5,0.5,Underground,-
Uldra,['(Frost p158)'],Fey,-,Small ,1,0.5,Cold Forests,Lvl +1
Domovoi,['(Frost p121)'],Fey,Fire,Small ,2,1,Cold Plains,Lvl +4
House Brownie,['(DR331 p076)'],Fey,-,Tiny,1,1,Temperate Forests,Lvl +4
Jaebrin Trickster,['(MM5 p092)'],Fey,-,Medium ,1,1,Any,-
Petal,['(MM3 p12) - (MM3Errata) - (Eb p99)+'],Fey,-,Tiny,1,1,Temperate Forests; Plane of Thelanis,Cohort +2
Rusalka,['(Frost p150)'],Fey,Aquatic,Medium ,2,1,Cold Aquatic,-
Shadar-Kai,['(FF p150)'],Fey,Extraplanar,Medium ,3,1,Plane of Shadow,Lvl +1
Sprite;  Grig,['(MM p23) - (Eb p99)'],Fey,-,Tiny,0.5,1,Temperate Forests; Plane of Thelanis,Lvl +3
Sprite;  Nixie,['(MM p23) - (Eb p99)'],Fey,Aquatic,Small ,1,1,Temperate Aquatic; Plane of Thelanis,Lvl +3
Chaneque,['(DR317 p064)'],Fey,-,Small ,2,2,Any Temperate; Any Warm,Lvl +4
Redcap;  5HD ‘Young’,['(MM3 p13) - (MM3Errata)'],Fey,-,Small ,4,2,Temperate Hills,Lvl +4
Satyr,['(MM p21) - (Eb p99)'],Fey,-,Medium ,5,2,Temperate Forests; Plane of Thelanis,Lvl +2
Shaedling,['(MM5 p148)'],Fey,-,Medium ,4,2,Temperate Forests,-
Splinterwaif,['(MM3 p16) - (MM3Errata)'],Fey,-,Medium ,2,2,Temperate Hills,Lvl +4
Wolf;  Spirit,['(Frost p155)'],Fey,Incorporeal;AugmentedAnimal,Medium ,2,2,Temperate Forests,Template - Spirit Animal
Dryad,['(MM p09) - (Eb p99)'],Fey,-,Medium ,4,3,Temperate Forests; Plane of Thelanis,-
Redcap;  6HD,['(MM3 p138)'],Fey,-,Small ,6,3,Temperate Hills,Lvl +4
Satyr;  Anarchic,['(Planar p107)'],Fey,Extraplanar,Medium ,5,3,Plane of Arborea,Template - Anarchic; Lvl +7
Spriggan,['(FF p162)'],Fey,-,Small / Large,5,3,Any Forest,Lvl +2
Vodyanoi,['(Frost p160)'],Fey,Aquatic,Medium ,5,3,Cold Aquatic,Lvl +5
Half-Fey Centaur,['(FF p08) - (3.5up p24)'],Fey,-,Large ,4,4,Temperate Forests,Lvl +4
Nereid,['(Storm p155)'],Fey,Aquatic;Extraplanar,Medium ,3,4,Plane of Water; Temperate Aquatic,Lvl +3
Redcap;  8HD,['(MM3 p138)'],Fey,-,Small ,8,4,Temperate Hills,Lvl +4
Satyr with Pipes,['(MM p21) - (Eb p99)'],Fey,-,Medium ,5,4,Temperate Forests; Plane of Thelanis,Lvl +2
Sprite;  Pixie,['(MM p23) - (Eb p99)'],Fey,-,Small ,1,4,Temperate Forests; Plane of Thelanis,Lvl +4
Thorn,['(MM3 p17) - (Eb p99)'],Fey,-,Small ,6,4,Temperate Forests; Plane of Thelanis,Cohort +2
Yuki-On-Na,['(Frost p164)'],Fey,Cold,Mediumum ,8,4,Cold Forests,Lvl +4
Fossergrim,['(FF p07) - (3.5up p24)'],Fey,Aquatic,Medium ,5,5,Any,-
Joystealer,['(MM4 p078)'],Fey,Incorporeal,Medium ,6,5,Plane of Ethereal,-
Sirine,['(MM2 p18) - (3.5up p36)'],Fey,Aquatic,Medium ,4,5,Temperate Aquatic; Warm Aquatic,Lvl +4
Sprite;  Pixie with Otto’s Irresistible Dance,['(MM p23) - (Eb p99)'],Fey,-,Small ,1,5,Temperate Forests; Plane of Thelanis,Lvl +6
Winterling,['(DR324 p061)'],Fey,Cold,Small ,7,5,Cold Hills; Cold Mountains,Lvl +5
Glaistig,['(MM3 p06) - (MM3Errata)'],Fey,-,Medium ,6,6,Temperate Forests,Lvl +4
Redcap;  10HD,['(MM3 p138)'],Fey,-,Small ,10,6,Temperate Hills,Lvl +4
Splinterwaif Knave,['(MM3 p16) - (MM3Errata)'],Fey,-,Medium ,6,6,Temperate Hills,Advanced; Lvl +4
Wendigo,['(FF p18) - (3.5up p24)'],Fey,Cold,Mediumum ,4,6,Cold Forests,Template - Wendigo; Lvl +4
Gloura,['(Und p088)'],Fey,-,Medium ,7,7,Underground,Lvl +2
Lunar Ravager,['(MM4 p094)'],Fey,-,Large ,14,7,Any Above Ground,-
Mirage Mullah;  Human Fighter 5th,['(Sand p177)'],Fey,-,Medium ,4,7,Warm Deserts (fey oases),Template - Mirage Mullah; Lvl +3
Nymph,['(MM p19) - (Eb p99)'],Fey,-,Medium ,6,7,Temperate Forests; Plane of Thelanis,Lvl +7
Oread,['(FF p13) - (3.5up p24)'],Fey,Earth,Medium ,7,7,Any Mountains,-
Redcap;  12HD ‘Elder’,['(MM3 p138)'],Fey,-,Small ,12,7,Temperate Hills,Lvl +4
Banshrae,['(MM5 p010)'],Fey,-,Medium ,15,8,Temperate Forests,-
Glaistig Mindbender;  Sorcerer 5th,['(MM3 p06) - (MM3Errata)'],Fey,-,Medium ,11,8,Temperate Forests,Lvl +4
Leveled Up Redcap;  14HD,['(MM3 p138)'],Fey,-,Small ,14,8,Temperate Hills,Lvl +4
Shimmerling Swarm,['(MM3 p15) - (Eb p99)'],Fey,Swarm,Fine ,11,8,Temperate Forests; Plane of Thelanis,-
Springheel,['(DR355 p056)'],Fey,-,Medium ,10,8,Any,(cites) -
Rimefire Eidolon,['(Frost p149)'],Fey,Cold,Mediumum ,12,9,Cold Aquatic,-
Kelpie,['(FF p11) - (3.5up p24)'],Fey,Aquatic,Large ,10,10,Any,-
Redcap;  16HD,['(MM3 p138)'],Fey,-,Small ,16,10,Temperate Hills,Lvl +4
Redcap;  18HD,['(MM3 p138)'],Fey,-,Small ,18,11,Temperate Hills,Lvl +4
Verdant Prince,['(MM4 p172)'],Fey,-,Medium ,16,11,Temperate Forests,-
Redcap;  20HD,['(MM3 p138)'],Fey,-,Small ,20,12,Temperate Hills,Lvl +4
Ragewalker,['(MM3 p13) - (Eb p98)'],Fey,-,Large ,22,14,Temperate Plains; Plane of Shavarath,-
Ruin Chanter,['(MM5 p132)'],Fey,Air;Earth,Medium ,20,14,Any,(ruins) -
Frostwind Virago,['(MM5 p058)'],Fey,-,Medium ,30,16,Cold Mountain,-
Ocean Strider,['(MM2 p16) - (3.5up p35)'],Fey,Aquatic,Huge ,30,18,Any Aquatic,-
Wild Watcher,['(DU132 p087)'],Fey,-,Medium ,26,19,Plane of Last Resort,-
Wild Hunt;  Master of the Hunt,['(MM5 p202)'],Fey,-,Large ,32,22,Any,-
Spirit of the Land,['(MM2 p18) - (3.5up p36)'],Fey,Incorporeal,Huge ,20,23,Any,-
Merrow,['(MM p199)'],Giant,Aquatic,Large ,4,3,Temperate Aquatic,Lvl +2
Ogre,['(MM p198)'],Giant,-,Large ,4,3,Temperate Hills,Lvl +2
Troll;  Forest,['(MM3 p17) - (MM3Errata)'],Giant,-,Medium ,5,3,Temperate Forests,Lvl +5
Fensir,['(FF p069)'],Giant,Extraplanar,Large ,4,5,Plane of Ysgard,Lvl +5
Ogre;  Skullcrusher,['(MM3 p116)'],Giant,-,Large ,8,5,Warm Hills,Lvl +3
Scrag,['(MM p248)'],Giant,Aquatic,Large ,6,5,Cold Aquatic,Lvl +5
Troll,['(MM p247)'],Giant,-,Large ,6,5,Cold Mountains,Lvl +5
Ettin,['(MM p106)'],Giant,-,Large ,10,6,Cold Hills,Lvl +5
Giant;  Bog,['(FF p081)'],Giant,Aquatic,Large ,8,6,Any Marsh,-
Ogre Guard Thrall,['(MM4 p110)'],Giant,-,Large ,4,6,Underground,Mind Flayer Slave
Ettin;  Fire-Souled,['(DR314 p022)'],Giant,Fire,Large ,10,7,Cold Hills,Template - Fire-Souled
Ettin;  Hooded Pupil,['(LM p108)'],Giant,-,Large ,10,7,Cold Hills,Template - Hooded Pupil
Giant;  Hill,['(MM p123)'],Giant,-,Large ,12,7,Temperate Hills,Lvl +4
Ogre;  Barbarian 4th,['(MM p198)'],Giant,-,Large ,8,7,Temperate Hills,Leveled Up; Lvl +2
Troll;  Crystalline,['(MM3 p17) - (MM3Errata)'],Giant,-,Large ,10,7,Temperate Mountains,Lvl +5
Troll;  Wasteland,['(Sand p190)'],Giant,-,Large ,8,7,Warm Hills; Warm Mountains,Lvl +5
Fensir;  Rakka,['(FF p070)'],Giant,Extraplanar,Huge ,12,8,Plane of Ysgard,Lvl +4
Giant;  Jungle,['(SoX p077)'],Giant,-,Large ,11,8,Warm Forest,-
Giant;  Rot,['(DR355 p040)'],Giant,-,Large ,10,8,Temperate Forest; Temperate Hills,-
Giant;  Stone,['(MM p124)'],Giant,Earth,Large ,14,8,Temperate Mountains,Lvl +4
Ken-Kuni,['(MM5 p048)'],Giant,Earth,Large ,8,8,Temperate Hills; Cold Hills,-
Ogre Mage,['(MM p200)'],Giant,-,Large ,5,8,Cold Hills,Lvl +7
"Ogre Mage;  Psionic (aka ""Cereborg"")",['(DR349 p07) - (MM p200)'],Giant,Psionic,Large ,5,8,Cold Hills,Variant; Lvl +7
Ogre Umbramage,['(DR349 p07) - (MM p200)'],Giant,-,Large ,5,8,Cold Hills,Variant; Lvl +7
Ogre;  Skullcrusher;  Fighter 3rd,['(MM3 p11) - (MM3Errata)'],Giant,-,Large ,11,8,Warm Hills,Leveled Up; Lvl +3
Troll;  Bladerager,['(MM5 p180)'],Giant,-,Large ,6,8,Cold Mountains,Variant; Lvl +5
Troll;  Cave,['(MM3 p177)'],Giant,-,Large ,9,8,Underground,Lvl +6
Xilob,['(DR317 p066)'],Giant,-,Huge ,13,8,Temperate Hills; Temperate Mount; Warm Hills; Warm Mount,Lvl +4
Giant;  Frost,['(MM p122)'],Giant,Cold,Large ,14,9,Cold Mountains,Lvl +4
Giant;  Stone Elder,['(MM p124)'],Giant,Earth,Large ,14,9,Temperate Mountains,Advanced; Lvl +6
Half-Troll Barbazu,['(FF p092)'],Giant,Extraplanar,Large ,6,9,Plane of Hell,Lvl +10
Giant;  Craa’ghoran,['(MM4 p060)'],Giant,Earth,Huge ,15,10,Any Mountains,-
Giant;  Fire,['(MM p121)'],Giant,Fire,Large ,15,10,Warm Mountains,Lvl +5
Giant;  Frost Spiritspeaker,['(Frost p134)'],Giant,Cold,Large ,14,10,Cold Mountains,Lvl +5
Giant;  Frost Tundra Scout,['(Frost p135)'],Giant,Cold,Large ,14,10,Cold Mountains,Lvl +4
Giant;  Sand,['(MM3 p05) - (MM3Errata)'],Giant,Earth;Fire,Large ,15,10,Warm Deserts,Lvl +4
Ken-Li,['(MM5 p048)'],Giant,Fire,Large ,12,10,Temperate Hills; Cold Hills,-
Troll;  Mountain,['(MM3 p180)'],Giant,-,Huge ,15,10,Any Mountains,Lvl +5
Formorian,['(MM2 p10) - (3.5up p33)'],Giant,-,Huge ,15,11,Any Mountains; Underground,Lvl +5
Giant;  Cloud,['(MM p120)'],Giant,Air,Huge ,17,11,Temperate Mountains,-
Giant;  Fire;  Draconic,['(Dcn p149)'],Giant,Fire,Large ,15,11,Warm Mountains,Template - Draconic
Giant;  Forest,['(MM2 p11) - (3.5up p33)'],Giant,-,Huge ,13,11,Any Forest,Lvl +4
Giant;  Frost;  Barbarian 2nd,['(Frost p134)'],Giant,Cold,Large ,16,11,Cold Mountains,Leveled Up; Lvl +4
Lycanthrope;  Were-Dire Boar / Hill Giant,['(MM p177)'],Giant,Shapechanger,Large ,19,11,Temperate Hills,Template - Lycanthrope; Lvl +7
Maur,['(Und p095)'],Giant,Earth,Large ,12,11,Underground,Lvl +5
Troll Hunter;  Ranger 6th,['(MM p247)'],Giant,-,Large ,12,11,Cold Mountains,Leveled Up; Lvl +5
Firbolg,['(MM2 p10) - (3.5up p33)'],Giant,-,Large ,13,12,Temperate Hills; Temperate Forest,Lvl +5
Giant;  Sun,['(MM2 p11) - (3.5up p33)'],Giant,Fire,Huge ,13,12,Warm Deserts; Temperate Deserts,Lvl +4
Giant;  Storm,['(MM p125)'],Giant,-,Huge ,19,13,Warm Mountains,-
Ken-Sun,['(MM5 p049)'],Giant,Air,Large ,17,13,Temperate Hills; Cold Hills,-
Giant;  Eldritch,['(MM3 p05) - (MM3Errata)'],Giant,-,Huge ,25,15,Temperate Mountains,-
Giant;  Sand;  Fighter 5th,['(MM3 p05) - (MM3Errata)'],Giant,Earth;Fire,Large ,20,15,Warm Deserts,Leveled Up; Lvl +4
Giant;  Death,['(MM3 p05) - (MM3Errata)'],Giant,-,Huge ,23,16,Temperate Deserts,-
Giant Frost;  Jarl;  Blackguard 8th,['(MM p122)'],Giant,Cold,Large ,22,17,Cold Mountains,Leveled Up
Raam,['(DU133 p085)'],Giant,-,Huge ,25,17,Adventure,-
Giant;  Death;  Fiendish,['(DU149 p054)'],Giant,-,Huge ,23,18,Plane of Abyss Template,- Fiendish
Giant;  Shadow,['(FF p082)'],Giant,-,Huge ,18,18,Underground,-
Geriviar,['(MM3 p05) - (MM3Errata)'],Giant,-,Huge ,26,19,Temperate Marshes,-
Giant;  Ocean,['(MM2 p11) - (3.5up p33)'],Giant,Aquatic;Cold,Huge ,18,19,Any Aquatic,-
Giant;  Eldritch;  Cleric 11th,['(MM3 p05) - (MM3Errata)'],Giant,-,Huge ,36,20,Temperate Mountains,Leveled Up
Giant;  Mountain,['(MM2 p11) - (3.5up p33)'],Giant,Earth,Colossal ,30,26,Any Mountains,-
Kobold,['(MM p161) '],Humanoid,Dragonblood;Reptilian,Small ,1,0.25,Temperate Forests,Lvl +0
Goblin,['(MM p132)'],Humanoid,Goblinoid,Small ,1,0.3,Temperate Plains,Lvl +0
Xvart,['(DR339 p064)'],Humanoid,Xvart,Small ,1,0.3,Any Forest; Underground,-
Asherati,['(Sand p139)'],Humanoid,-,Medium ,1,0.5,Warm Deserts,Lvl +0
Aventi,['(Storm p138)'],Humanoid,Aquatic;Human,Medium ,1,0.5,Temperate Aquatic,Lvl +0
Bhuka,['(Sand p141)'],Humanoid,Goblinoid,Medium ,1,0.5,Warm Deserts,Lvl +0
Changeling,['(MM3 p025)'],Humanoid,Shapechanger,Medium ,1,0.5,Any,Lvl +0
Darfellan,['(Storm p143)'],Humanoid,Darfellan,Medium ,1,0.5,Temperate Aquatic,Lvl +0
Dwarf;  Deep,['(MM p092)'],Humanoid,Dwarf,Medium ,1,0.5,Underground,Lvl +0
Dwarf;  Hill,['(MM p091)'],Humanoid,Dwarf,Medium ,1,0.5,Temperate Mountains,Lvl +0
Dwarf;  Mountain,['(MM p093)'],Humanoid,Dwarf,Medium ,1,0.5,Underground,Lvl +0
Elf;  Aquatic,['(MM p10) - (Storm p148)'],Humanoid,Elf;Aquatic,Medium ,1,0.5,Temperate Aquatic,Lvl +0
Elf;  Gray,['(MM p104)'],Humanoid,Elf,Medium ,1,0.5,Temperate Mountains,Lvl +0
Elf;  Half,['(MM p102)'],Humanoid,Elf,Medium ,1,0.5,Temperate Forests,Lvl +0
Elf;  High,['(MM p101)'],Humanoid,Elf,Medium ,1,0.5,Temperate Forests,Lvl +0
Elf;  Wild,['(MM p104)'],Humanoid,Elf,Medium ,1,0.5,Warm Forests,Lvl +0
Elf;  Wood,['(MM p104)'],Humanoid,Elf,Medium ,1,0.5,Temperate Forests,Lvl +0
Gnome;  Forest,['(MM p132)'],Humanoid,Gnome,Small ,1,0.5,Temperate Forests,Lvl +0
Gnome;  Rock,['(MM p131)'],Humanoid,Gnome,Small ,1,0.5,Temperate Hills,Lvl +0
Goblin;  Forestkith,['(MM3 p06) - (MM3Errata)'],Humanoid,Goblinoid,Small ,1,0.5,Temperate Forests,Lvl +1
Goblin;  Snow,['(Frost p136)'],Humanoid,Goblinoid,Small ,1,0.5,Cold Hills,Lvl +3
Grippli,['(DR324 p084)'],Humanoid,Grippli,Small ,1,0.5,Temperate Marshes; Warm Marshes; Warm Forests,Lvl +0
Hadozee,['(Storm p151)'],Humanoid,Hadozee,Medium ,1,0.5,Warm Forest,Any Aquatic (seagoing)
